emirate,plate_number,plate_code,price,first_seen,last_seen,status,sold_at
Ras Al Khaimah,5054,Z,17400,2026-03-09T07:01:37.555148Z,2026-06-17T10:53:45.731821Z,sold,2026-06-21T09:49:07.356628Z
Ras Al Khaimah,2330,Z,17400,2026-03-09T07:01:37.555148Z,2026-03-29T07:02:43.619449Z,sold,2026-04-01T07:20:17.558007Z
Ras Al Khaimah,3032,N,17400,2026-06-21T09:49:07.356628Z,2026-07-13T09:24:41.319331Z,sold,2026-07-17T08:08:08.457549Z
Ras Al Khaimah,5250,S,17400,2026-06-21T09:49:07.356628Z,2026-07-13T09:24:41.319331Z,sold,2026-07-17T08:08:08.457549Z
Ras Al Khaimah,3440,Z,17400,2026-06-21T09:49:07.356628Z,2026-07-13T09:24:41.319331Z,sold,2026-07-17T08:08:08.457549Z
Ras Al Khaimah,9192,D,17400,2026-07-17T08:08:08.457549Z,2026-07-29T08:38:38.549005Z,sold,2026-08-01T08:19:16.373088Z
Ras Al Khaimah,1190,Z,17400,2026-07-17T08:08:08.457549Z,2026-07-17T08:08:08.457549Z,sold,2026-07-21T08:26:36.002074Z
Ras Al Khaimah,6609,Z,17400,2026-07-17T08:08:08.457549Z,2026-08-17T06:52:30.826773Z,available,
Ras Al Khaimah,6069,Z,17400,2026-07-17T08:08:08.457549Z,2026-07-25T08:04:35.361075Z,sold,2026-07-29T08:38:38.549005Z
Ras Al Khaimah,1156,N,16900,2025-12-23T20:41:24.173048Z,2026-01-21T06:36:19.660785Z,sold,2026-01-25T06:31:40.342955Z
Ras Al Khaimah,7072,I,16900,2025-12-23T20:41:24.173048Z,2026-01-21T06:36:19.660785Z,sold,2026-01-25T06:31:40.342955Z
Ras Al Khaimah,7606,I,16900,2025-12-23T20:41:24.173048Z,2026-02-05T06:58:40.331407Z,sold,2026-02-09T07:03:54.809176Z
Ras Al Khaimah,8687,V,16900,2025-12-23T20:41:24.173048Z,2025-12-23T20:41:24.173048Z,sold,2026-01-14T19:00:52.915072Z
Ras Al Khaimah,1677,Y,16900,2025-12-23T20:41:24.173048Z,2026-01-14T19:00:52.915072Z,sold,2026-01-17T06:30:29.141511Z
Ras Al Khaimah,5606,Y,16900,2025-12-23T20:41:24.173048Z,2026-03-01T06:45:20.846014Z,sold,2026-03-05T06:52:24.970137Z
Ras Al Khaimah,6101,N,16900,2026-03-09T07:01:37.555148Z,2026-06-17T10:53:45.731821Z,sold,2026-06-21T09:49:07.356628Z
