emirate,plate_number,plate_code,price,first_seen,last_seen,status,sold_at
Ras Al Khaimah,2301,K,12900,2025-12-23T20:41:24.173048Z,2026-01-21T06:36:19.660785Z,sold,2026-01-25T06:31:40.342955Z
Ras Al Khaimah,8071,I,12900,2025-12-23T20:41:24.173048Z,2026-01-21T06:36:19.660785Z,sold,2026-01-25T06:31:40.342955Z
Ras Al Khaimah,40010,I,12900,2025-12-23T20:41:24.173048Z,2026-01-17T06:30:29.141511Z,sold,2026-01-21T06:36:19.660785Z
Ras Al Khaimah,70071,I,12900,2025-12-23T20:41:24.173048Z,2025-12-23T20:41:24.173048Z,sold,2026-01-14T19:00:52.915072Z
Ras Al Khaimah,77756,V,12900,2025-12-23T20:41:24.173048Z,2026-01-21T06:36:19.660785Z,sold,2026-01-25T06:31:40.342955Z
Ras Al Khaimah,1305,Y,12900,2025-12-23T20:41:24.173048Z,2025-12-23T20:41:24.173048Z,sold,2026-01-14T19:00:52.915072Z
Ras Al Khaimah,10041,Y,12900,2025-12-23T20:41:24.173048Z,2026-01-21T06:36:19.660785Z,sold,2026-01-25T06:31:40.342955Z
Ras Al Khaimah,30400,Y,12900,2025-12-23T20:41:24.173048Z,2026-01-21T06:36:19.660785Z,sold,2026-01-25T06:31:40.342955Z
Ras Al Khaimah,80700,X,12900,2025-12-23T20:41:24.173048Z,2026-01-21T06:36:19.660785Z,sold,2026-01-25T06:31:40.342955Z
Ras Al Khaimah,12666,M,12400,2025-12-23T20:41:24.173048Z,2026-01-14T19:00:52.915072Z,sold,2026-01-17T06:30:29.141511Z
Ras Al Khaimah,30013,S,12400,2025-12-23T20:41:24.173048Z,2026-01-21T06:36:19.660785Z,sold,2026-01-25T06:31:40.342955Z
Ras Al Khaimah,66602,D,12400,2025-12-23T20:41:24.173048Z,2025-12-23T20:41:24.173048Z,sold,2026-01-14T19:00:52.915072Z
Ras Al Khaimah,31001,I,12400,2025-12-23T20:41:24.173048Z,2025-12-23T20:41:24.173048Z,sold,2026-01-14T19:00:52.915072Z
Ras Al Khaimah,77011,I,12400,2025-12-23T20:41:24.173048Z,2025-12-23T20:41:24.173048Z,sold,2026-01-14T19:00:52.915072Z
Ras Al Khaimah,55600,X,12400,2025-12-23T20:41:24.173048Z,2026-01-21T06:36:19.660785Z,sold,2026-01-25T06:31:40.342955Z
Ras Al Khaimah,8130,Z,12400,2025-12-23T20:41:24.173048Z,2026-01-21T06:36:19.660785Z,sold,2026-01-25T06:31:40.342955Z
Ras Al Khaimah,6470,C,11900,2025-12-23T20:41:24.173048Z,2026-01-21T06:36:19.660785Z,sold,2026-01-25T06:31:40.342955Z
Ras Al Khaimah,30777,N,11900,2025-12-23T20:41:24.173048Z,2026-01-21T06:36:19.660785Z,sold,2026-01-25T06:31:40.342955Z
Ras Al Khaimah,33600,S,11900,2025-12-23T20:41:24.173048Z,2026-01-21T06:36:19.660785Z,sold,2026-01-25T06:31:40.342955Z
Ras Al Khaimah,25005,S,11900,2025-12-23T20:41:24.173048Z,2026-01-21T06:36:19.660785Z,sold,2026-01-25T06:31:40.342955Z
Ras Al Khaimah,56500,K,11900,2025-12-23T20:41:24.173048Z,2026-01-21T06:36:19.660785Z,sold,2026-01-25T06:31:40.342955Z
