emirate,plate_number,plate_code,final_price,bid_count,first_seen,completed_at,price_changes
Abu Dhabi,10,22,5001000,18,2026-08-28T23:53:57.981727Z,2026-09-02T08:32:32.600148Z,5
Abu Dhabi,77,22,4001000,9,2026-08-28T23:53:57.981727Z,2026-09-02T08:32:32.600148Z,2
Abu Dhabi,666,2,2104000,11,2026-08-28T23:53:57.981727Z,2026-09-02T08:32:32.600148Z,5
Abu Dhabi,555,15,2001000,19,2026-08-28T23:53:57.981727Z,2026-09-02T08:32:32.600148Z,4
Abu Dhabi,2222,22,1731000,39,2026-08-28T23:53:57.981727Z,2026-09-02T08:32:32.600148Z,8
Abu Dhabi,100,19,1509000,19,2026-08-28T23:53:57.981727Z,2026-09-02T08:32:32.600148Z,7
Abu Dhabi,900,2,1401000,33,2026-08-28T23:53:57.981727Z,2026-09-02T08:32:32.600148Z,10
Abu Dhabi,1000,22,1035000,17,2026-08-28T23:53:57.981727Z,2026-09-02T08:32:32.600148Z,4
Abu Dhabi,811,1,1001000,13,2026-08-28T23:53:57.981727Z,2026-09-02T08:32:32.600148Z,7
Abu Dhabi,119,2,900000,16,2026-08-28T23:53:57.981727Z,2026-09-02T08:32:32.600148Z,6
Abu Dhabi,181,18,785000,64,2026-08-28T23:53:57.981727Z,2026-09-02T08:32:32.600148Z,11
Abu Dhabi,212,21,753000,12,2026-08-28T23:53:57.981727Z,2026-09-02T08:32:32.600148Z,6
Abu Dhabi,177,11,751000,7,2026-08-28T23:53:57.981727Z,2026-09-02T08:32:32.600148Z,2
Abu Dhabi,331,13,720000,4,2026-08-28T23:53:57.981727Z,2026-09-02T08:32:32.600148Z,2
Abu Dhabi,660,16,720000,3,2026-08-28T23:53:57.981727Z,2026-09-02T08:32:32.600148Z,2
Abu Dhabi,123,23,690000,17,2026-08-28T23:53:57.981727Z,2026-09-02T08:32:32.600148Z,8
Abu Dhabi,505,12,650000,9,2026-08-28T23:53:57.981727Z,2026-09-02T08:32:32.600148Z,4
Abu Dhabi,432,1,644000,15,2026-08-28T23:53:57.981727Z,2026-09-02T08:32:32.600148Z,7
Abu Dhabi,102,22,604000,10,2026-08-28T23:53:57.981727Z,2026-09-02T08:32:32.600148Z,3
Abu Dhabi,707,22,603000,6,2026-08-28T23:53:57.981727Z,2026-09-02T08:32:32.600148Z,3
Abu Dhabi,880,10,600000,2,2026-08-28T23:53:57.981727Z,2026-09-02T08:32:32.600148Z,0
Abu Dhabi,143,13,450000,9,2026-08-28T23:53:57.981727Z,2026-09-02T08:32:32.600148Z,7
Abu Dhabi,160,10,450000,11,2026-08-28T23:53:57.981727Z,2026-09-02T08:32:32.600148Z,5
Abu Dhabi,203,23,414000,15,2026-08-28T23:53:57.981727Z,2026-09-02T08:32:32.600148Z,7
Abu Dhabi,210,21,414000,9,2026-08-28T23:53:57.981727Z,2026-09-02T08:32:32.600148Z,6
Abu Dhabi,971,11,412000,15,2026-08-28T23:53:57.981727Z,2026-09-02T08:32:32.600148Z,8
Abu Dhabi,6000,20,355000,14,2026-08-28T23:53:57.981727Z,2026-09-02T08:32:32.600148Z,4
Abu Dhabi,26,0,299000,22,2026-08-28T23:53:57.981727Z,2026-09-02T08:32:32.600148Z,8
Abu Dhabi,1010,23,286500,14,2026-08-28T23:53:57.981727Z,2026-09-02T08:32:32.600148Z,4
Abu Dhabi,1001,23,216000,27,2026-08-28T23:53:57.981727Z,2026-09-02T08:32:32.600148Z,12
Abu Dhabi,3003,22,195000,7,2026-08-28T23:53:57.981727Z,2026-09-02T08:32:32.600148Z,6
Abu Dhabi,2323,23,180500,23,2026-08-28T23:53:57.981727Z,2026-09-02T08:32:32.600148Z,9
Abu Dhabi,4848,2,171500,4,2026-08-28T23:53:57.981727Z,2026-09-02T08:32:32.600148Z,0
Abu Dhabi,3773,2,171000,3,2026-08-28T23:53:57.981727Z,2026-09-02T08:32:32.600148Z,0
Abu Dhabi,30,1,160500,7,2026-08-28T23:53:57.981727Z,2026-09-02T08:32:32.600148Z,5
Abu Dhabi,5050,23,152500,11,2026-08-28T23:53:57.981727Z,2026-09-02T08:32:32.600148Z,7
Abu Dhabi,1717,20,151500,9,2026-08-28T23:53:57.981727Z,2026-09-02T08:32:32.600148Z,4
Abu Dhabi,1011,22,137000,12,2026-08-28T23:53:57.981727Z,2026-09-02T08:32:32.600148Z,7
Abu Dhabi,4070,1,135000,10,2026-08-28T23:53:57.981727Z,2026-09-02T08:32:32.600148Z,4
Abu Dhabi,1110,23,130500,26,2026-08-28T23:53:57.981727Z,2026-09-02T08:32:32.600148Z,14
Abu Dhabi,4040,22,123500,9,2026-08-28T23:53:57.981727Z,2026-09-02T08:32:32.600148Z,5
Abu Dhabi,1114,22,120500,5,2026-08-28T23:53:57.981727Z,2026-09-02T08:32:32.600148Z,2
Abu Dhabi,3030,23,120500,6,2026-08-28T23:53:57.981727Z,2026-09-02T08:32:32.600148Z,2
Abu Dhabi,2244,22,120000,6,2026-08-28T23:53:57.981727Z,2026-09-02T08:32:32.600148Z,1
Abu Dhabi,6600,22,120000,7,2026-08-28T23:53:57.981727Z,2026-09-02T08:32:32.600148Z,4
Abu Dhabi,2112,22,115000,14,2026-08-28T23:53:57.981727Z,2026-09-02T08:32:32.600148Z,8
Abu Dhabi,2220,23,102500,6,2026-08-28T23:53:57.981727Z,2026-09-02T08:32:32.600148Z,4
Abu Dhabi,1511,20,101500,9,2026-08-28T23:53:57.981727Z,2026-09-02T08:32:32.600148Z,6
Abu Dhabi,2022,23,101500,9,2026-08-28T23:53:57.981727Z,2026-09-02T08:32:32.600148Z,6
Abu Dhabi,2200,23,101500,6,2026-08-28T23:53:57.981727Z,2026-09-02T08:32:32.600148Z,4
Abu Dhabi,3222,23,100500,3,2026-08-28T23:53:57.981727Z,2026-09-02T08:32:32.600148Z,2
Abu Dhabi,3303,23,100500,5,2026-08-28T23:53:57.981727Z,2026-09-02T08:32:32.600148Z,3
Abu Dhabi,3323,23,100500,5,2026-08-28T23:53:57.981727Z,2026-09-02T08:32:32.600148Z,4
Abu Dhabi,4333,20,100500,4,2026-08-28T23:53:57.981727Z,2026-09-02T08:32:32.600148Z,3
Abu Dhabi,125,0,100000,11,2026-08-28T23:53:57.981727Z,2026-09-02T08:32:32.600148Z,7
Abu Dhabi,4044,19,100000,21,2026-08-28T23:53:57.981727Z,2026-09-02T08:32:32.600148Z,2
Abu Dhabi,4404,18,100000,3,2026-08-28T23:53:57.981727Z,2026-09-02T08:32:32.600148Z,3
Abu Dhabi,5500,21,100000,10,2026-08-28T23:53:57.981727Z,2026-09-02T08:32:32.600148Z,5
Abu Dhabi,6066,22,100000,4,2026-08-28T23:53:57.981727Z,2026-09-02T08:32:32.600148Z,2
Abu Dhabi,6363,20,100000,10,2026-08-28T23:53:57.981727Z,2026-09-02T08:32:32.600148Z,9
Abu Dhabi,6699,22,100000,11,2026-08-28T23:53:57.981727Z,2026-09-02T08:32:32.600148Z,6
Abu Dhabi,188,0,93500,8,2026-08-28T23:53:57.981727Z,2026-09-02T08:32:32.600148Z,4
