emirate,plate_number,plate_code,final_price,bid_count,first_seen,completed_at,price_changes
Umm Al Quwain,17,K,670000,141,2026-02-20T20:36:03.836124Z,2026-02-27T21:20:15.301646Z,68
Umm Al Quwain,66,J,644000,145,2026-02-20T20:36:03.836124Z,2026-02-27T20:08:01.314395Z,42
Umm Al Quwain,24,M,503000,47,2026-02-20T20:36:03.836124Z,2026-02-27T19:32:29.294383Z,27
Umm Al Quwain,999,N,407500,81,2026-02-20T20:36:03.836124Z,2026-02-27T20:18:51.332934Z,46
Umm Al Quwain,200,N,240000,102,2026-02-20T20:36:03.836124Z,2026-02-27T19:43:17.311044Z,50
Umm Al Quwain,14,B,160500,249,2026-02-20T20:36:03.836124Z,2026-02-28T00:57:07.837938Z,114
Umm Al Quwain,303,M,149000,95,2026-02-20T20:36:03.836124Z,2026-02-27T21:27:22.512567Z,57
Umm Al Quwain,2000,K,140000,52,2026-02-20T20:36:03.836124Z,2026-02-27T19:50:04.685212Z,24
Umm Al Quwain,12345,N,131200,75,2026-02-20T20:36:03.836124Z,2026-02-27T19:54:10.076981Z,41
Umm Al Quwain,170,N,130500,60,2026-02-20T20:36:03.836124Z,2026-02-27T19:21:41.226817Z,30
Umm Al Quwain,717,K,126500,57,2026-02-20T20:36:03.836124Z,2026-02-27T20:11:42.209241Z,37
Umm Al Quwain,60000,N,120500,54,2026-02-20T20:36:03.836124Z,2026-02-27T18:54:26.246789Z,33
Umm Al Quwain,440,K,112500,51,2026-02-20T20:36:03.836124Z,2026-02-27T20:33:20.262480Z,32
Umm Al Quwain,511,M,111500,54,2026-02-20T20:36:03.836124Z,2026-02-27T19:57:10.596314Z,39
Umm Al Quwain,690,J,110000,83,2026-02-20T20:36:03.836124Z,2026-02-27T21:05:43.231682Z,58
Umm Al Quwain,881,J,103500,26,2026-02-20T20:36:03.836124Z,2026-02-27T19:54:10.076981Z,19
Umm Al Quwain,103,L,103000,47,2026-02-20T20:36:03.836124Z,2026-02-27T19:39:15.859239Z,25
Umm Al Quwain,1001,N,91000,87,2026-02-20T20:36:03.836124Z,2026-02-27T20:49:32.730583Z,41
Umm Al Quwain,11000,N,75200,130,2026-02-20T20:36:03.836124Z,2026-02-27T19:27:04.105025Z,32
Umm Al Quwain,333,B,56200,126,2026-02-20T20:36:03.836124Z,2026-02-27T20:13:25.223263Z,48
Umm Al Quwain,70007,K,46600,22,2026-02-20T20:36:03.836124Z,2026-02-27T19:51:42.038953Z,18
Umm Al Quwain,19999,M,45800,75,2026-02-20T20:36:03.836124Z,2026-02-27T19:32:29.294383Z,36
Umm Al Quwain,5050,N,45200,88,2026-02-20T20:36:03.836124Z,2026-02-27T18:59:52.753009Z,30
Umm Al Quwain,2345,M,42200,74,2026-02-20T20:36:03.836124Z,2026-02-27T20:38:44.865160Z,46
Umm Al Quwain,3300,M,41400,66,2026-02-20T20:36:03.836124Z,2026-02-27T19:54:10.076981Z,32
Umm Al Quwain,22220,K,40400,28,2026-02-20T20:36:03.836124Z,2026-02-27T19:32:29.294383Z,18
Umm Al Quwain,16000,K,39800,33,2026-02-20T20:36:03.836124Z,2026-02-27T20:24:17.979351Z,24
Umm Al Quwain,11114,M,39600,54,2026-02-20T20:36:03.836124Z,2026-02-27T19:21:41.226817Z,32
Umm Al Quwain,1119,M,38800,75,2026-02-20T20:36:03.836124Z,2026-02-27T19:37:53.750286Z,32
Umm Al Quwain,7111,M,38800,61,2026-02-20T20:36:03.836124Z,2026-02-27T18:59:52.753009Z,29
Umm Al Quwain,6699,N,38200,55,2026-02-20T20:36:03.836124Z,2026-02-27T20:10:25.263557Z,30
Umm Al Quwain,6660,K,37200,21,2026-02-20T20:36:03.836124Z,2026-02-27T19:27:04.105025Z,13
Umm Al Quwain,71111,N,36000,30,2026-02-20T20:36:03.836124Z,2026-02-27T19:32:29.294383Z,26
Umm Al Quwain,1414,M,34800,69,2026-02-20T20:36:03.836124Z,2026-02-27T19:27:04.105025Z,44
Umm Al Quwain,9911,E,33400,46,2026-02-20T20:36:03.836124Z,2026-02-27T19:48:44.112450Z,33
Umm Al Quwain,80808,N,33200,32,2026-02-20T20:36:03.836124Z,2026-02-27T19:21:41.226817Z,26
Umm Al Quwain,55500,X,32800,68,2026-02-20T20:36:03.836124Z,2026-02-27T19:54:10.076981Z,37
Umm Al Quwain,8118,M,31800,40,2026-02-20T20:36:03.836124Z,2026-02-27T19:28:22.844685Z,26
Umm Al Quwain,32323,M,29600,36,2026-02-20T20:36:03.836124Z,2026-02-27T20:06:18.673604Z,29
Umm Al Quwain,2100,C,28600,41,2026-02-20T20:36:03.836124Z,2026-02-27T19:05:16.761217Z,30
Umm Al Quwain,99099,L,27800,30,2026-02-20T20:36:03.836124Z,2026-02-27T19:39:15.859239Z,20
Umm Al Quwain,1987,L,23200,58,2026-02-20T20:36:03.836124Z,2026-02-27T19:32:29.294383Z,23
Umm Al Quwain,909,B,16600,40,2026-02-20T20:36:03.836124Z,2026-02-27T20:15:48.108267Z,26
Umm Al Quwain,1110,B,13000,44,2026-02-20T20:36:03.836124Z,2026-02-27T19:32:29.294383Z,20
