emirate,plate_number,plate_code,final_price,bid_count,first_seen,completed_at,price_changes
Umm Al Quwain,22,K,601000,55,2026-08-12T08:18:46.341243Z,2026-08-21T14:36:37.348560Z,20
Umm Al Quwain,30,M,526000,46,2026-08-12T08:18:46.341243Z,2026-08-21T14:36:37.348560Z,12
Umm Al Quwain,91,X,454000,66,2026-08-12T08:18:46.341243Z,2026-08-21T14:36:37.348560Z,23
Umm Al Quwain,222,G,324000,66,2026-08-12T08:18:46.341243Z,2026-08-21T14:36:37.348560Z,29
Umm Al Quwain,99999,G,312000,68,2026-08-12T08:18:46.341243Z,2026-08-21T14:36:37.348560Z,20
Umm Al Quwain,800,G,231000,35,2026-08-12T08:18:46.341243Z,2026-08-21T14:36:37.348560Z,11
Umm Al Quwain,9999,G,201000,36,2026-08-12T08:18:46.341243Z,2026-08-21T14:36:37.348560Z,11
Umm Al Quwain,50000,G,120000,44,2026-08-12T08:18:46.341243Z,2026-08-21T14:36:37.348560Z,23
Umm Al Quwain,303,L,105500,30,2026-08-12T08:18:46.341243Z,2026-08-21T14:36:37.348560Z,18
Umm Al Quwain,550,G,101000,50,2026-08-12T08:18:46.341243Z,2026-08-21T14:36:37.348560Z,20
Umm Al Quwain,991,G,91500,24,2026-08-12T08:18:46.341243Z,2026-08-21T14:36:37.348560Z,18
Umm Al Quwain,108,N,91500,51,2026-08-12T10:07:50.321476Z,2026-08-21T14:36:37.348560Z,21
Umm Al Quwain,414,M,90500,25,2026-08-12T08:18:46.341243Z,2026-08-21T14:36:37.348560Z,14
Umm Al Quwain,6000,K,84000,37,2026-08-12T08:18:46.341243Z,2026-08-21T14:36:37.348560Z,26
Umm Al Quwain,811,M,83000,39,2026-08-12T08:18:46.341243Z,2026-08-21T14:36:37.348560Z,14
Umm Al Quwain,190,N,82000,20,2026-08-12T10:07:50.321476Z,2026-08-21T14:36:37.348560Z,4
Umm Al Quwain,971,I,80000,24,2026-08-12T08:18:46.341243Z,2026-08-21T14:36:37.348560Z,16
Umm Al Quwain,1100,G,65200,35,2026-08-12T08:18:46.341243Z,2026-08-21T14:36:37.348560Z,8
Umm Al Quwain,88000,G,51800,18,2026-08-12T08:18:46.341243Z,2026-08-21T14:36:37.348560Z,10
Umm Al Quwain,19,B,42500,11,2026-08-12T08:18:46.341243Z,2026-08-21T14:36:37.348560Z,8
Umm Al Quwain,22220,N,40000,19,2026-08-12T10:07:50.321476Z,2026-08-21T14:36:37.348560Z,11
Umm Al Quwain,2002,G,39200,47,2026-08-12T08:18:46.341243Z,2026-08-21T14:36:37.348560Z,20
Umm Al Quwain,5050,G,38200,48,2026-08-12T08:18:46.341243Z,2026-08-21T14:36:37.348560Z,20
Umm Al Quwain,8880,G,37200,28,2026-08-12T08:18:46.341243Z,2026-08-21T14:36:37.348560Z,16
Umm Al Quwain,10111,N,35600,20,2026-08-12T10:07:50.321476Z,2026-08-21T14:36:37.348560Z,11
Umm Al Quwain,23000,M,35400,20,2026-08-12T08:18:46.341243Z,2026-08-21T14:36:37.348560Z,9
Umm Al Quwain,11113,M,35200,20,2026-08-12T08:18:46.341243Z,2026-08-21T14:36:37.348560Z,8
Umm Al Quwain,1119,D,34000,18,2026-08-12T08:18:46.341243Z,2026-08-21T14:36:37.348560Z,11
Umm Al Quwain,9911,N,33600,14,2026-08-12T10:07:50.321476Z,2026-08-21T14:36:37.348560Z,8
Umm Al Quwain,71111,K,33400,23,2026-08-12T08:18:46.341243Z,2026-08-21T14:36:37.348560Z,13
Umm Al Quwain,1919,N,32200,14,2026-08-12T10:07:50.321476Z,2026-08-21T14:36:37.348560Z,6
Umm Al Quwain,1500,N,31600,32,2026-08-12T10:07:50.321476Z,2026-08-21T14:36:37.348560Z,8
Umm Al Quwain,7771,E,31200,25,2026-08-12T08:18:46.341243Z,2026-08-21T14:36:37.348560Z,21
Umm Al Quwain,30003,G,31200,11,2026-08-12T08:18:46.341243Z,2026-08-21T14:36:37.348560Z,5
Umm Al Quwain,1011,N,30800,19,2026-08-12T10:07:50.321476Z,2026-08-21T14:36:37.348560Z,10
Umm Al Quwain,66661,K,29200,18,2026-08-12T08:18:46.341243Z,2026-08-21T14:36:37.348560Z,15
Umm Al Quwain,2010,M,25000,59,2026-08-12T08:18:46.341243Z,2026-08-21T14:36:37.348560Z,17
Umm Al Quwain,10100,G,20200,49,2026-08-12T08:18:46.341243Z,2026-08-21T14:36:37.348560Z,27
Umm Al Quwain,199,B,9200,5,2026-08-12T08:18:46.341243Z,2026-08-21T14:36:37.348560Z,5
Umm Al Quwain,1999,B,5000,12,2026-08-12T08:18:46.341243Z,2026-08-21T14:36:37.348560Z,12
