emirate,plate_number,plate_code,final_price,bid_count,first_seen,completed_at,price_changes
Abu Dhabi,0,,6001000,266,2026-04-24T20:22:04.128387Z,2026-05-01T22:04:01.594925Z,108
Abu Dhabi,44,2,3505000,8,2026-04-24T20:23:39.183475Z,2026-04-30T23:01:07.378154Z,7
Abu Dhabi,0,,2504000,258,2026-04-24T20:22:04.128387Z,2026-05-01T17:51:18.725179Z,87
Abu Dhabi,111,21,2402000,26,2026-04-24T20:23:39.183475Z,2026-04-30T23:01:07.378154Z,16
Abu Dhabi,0,,1627000,148,2026-04-24T20:22:04.128387Z,2026-05-01T19:55:22.997992Z,100
Abu Dhabi,33333,2,1620000,123,2026-05-01T18:00:11.287472Z,2026-05-02T19:34:11.033268Z,41
Abu Dhabi,0,,1420000,56,2026-04-24T20:22:04.128387Z,2026-05-01T14:41:06.226978Z,38
Abu Dhabi,0,,1201000,47,2026-04-24T20:22:04.128387Z,2026-05-01T14:13:43.483214Z,32
Abu Dhabi,1000,21,1079000,40,2026-04-24T20:23:39.183475Z,2026-04-30T23:01:07.378154Z,25
Abu Dhabi,0,,952000,106,2026-04-24T20:22:04.128387Z,2026-05-01T15:25:11.020898Z,43
Abu Dhabi,7777,22,914000,17,2026-04-24T20:23:39.183475Z,2026-04-30T23:01:07.378154Z,13
Abu Dhabi,0,,839000,80,2026-04-24T20:22:04.128387Z,2026-05-01T17:15:31.360274Z,40
Abu Dhabi,150,2,821000,21,2026-04-24T20:23:39.183475Z,2026-04-30T23:01:07.378154Z,17
Abu Dhabi,0,,801000,16,2026-04-24T20:22:04.128387Z,2026-04-30T23:01:07.378154Z,12
Abu Dhabi,600,16,801000,9,2026-04-24T20:23:39.183475Z,2026-04-30T23:01:07.378154Z,8
Abu Dhabi,0,,783000,40,2026-04-24T20:22:04.128387Z,2026-05-01T16:13:35.498609Z,28
Abu Dhabi,0,,744000,125,2026-04-24T20:22:04.128387Z,2026-05-01T19:16:42.582486Z,71
Abu Dhabi,401,1,700000,16,2026-04-24T20:23:39.183475Z,2026-04-30T23:01:07.378154Z,13
Abu Dhabi,922,22,700000,10,2026-04-24T20:23:39.183475Z,2026-04-30T23:01:07.378154Z,7
Abu Dhabi,770,50,653000,11,2026-04-24T20:23:39.183475Z,2026-04-30T23:01:07.378154Z,7
Abu Dhabi,60000,50,588000,188,2026-05-01T18:31:15.147457Z,2026-05-02T17:47:38.433259Z,69
Abu Dhabi,0,,581000,19,2026-04-24T20:22:04.128387Z,2026-05-01T14:41:06.226978Z,15
Abu Dhabi,169,16,552000,8,2026-04-24T20:23:39.183475Z,2026-04-30T23:01:07.378154Z,8
