emirate,plate_number,plate_code,final_price,bid_count,first_seen,completed_at,price_changes
Umm Al Quwain,18,J,611000,168,2026-06-12T20:44:09.172474Z,2026-06-19T19:34:05.291584Z,41
Umm Al Quwain,25,N,588000,180,2026-06-12T20:44:09.172474Z,2026-06-19T19:45:00.440031Z,35
Umm Al Quwain,80,M,551000,130,2026-06-12T20:44:09.172474Z,2026-06-19T20:01:20.905780Z,46
Umm Al Quwain,444,G,347000,118,2026-06-12T20:44:09.172474Z,2026-06-19T22:00:39.829802Z,57
Umm Al Quwain,44444,G,300500,158,2026-06-12T20:44:09.172474Z,2026-06-19T20:23:03.181987Z,46
Umm Al Quwain,600,G,260000,102,2026-06-12T20:44:09.172474Z,2026-06-19T19:17:36.710533Z,42
Umm Al Quwain,4444,G,251500,97,2026-06-12T20:44:09.172474Z,2026-06-19T19:28:29.601879Z,26
Umm Al Quwain,321,G,160000,126,2026-06-12T20:44:09.172474Z,2026-06-19T21:49:46.036260Z,51
Umm Al Quwain,7000,G,155500,86,2026-06-12T20:44:09.172474Z,2026-06-19T18:33:58.963543Z,40
Umm Al Quwain,150,N,141500,50,2026-06-12T20:44:09.172474Z,2026-06-19T19:28:29.601879Z,23
Umm Al Quwain,990,G,140000,61,2026-06-12T20:44:09.172474Z,2026-06-19T20:28:28.700342Z,35
Umm Al Quwain,616,M,136000,89,2026-06-12T20:44:09.172474Z,2026-06-19T19:23:01.369333Z,21
Umm Al Quwain,17,B,129500,144,2026-06-12T20:44:09.172474Z,2026-06-19T20:18:46.032560Z,33
Umm Al Quwain,808,K,127500,37,2026-06-12T20:44:09.172474Z,2026-06-19T18:12:13.479481Z,13
Umm Al Quwain,102,N,125500,86,2026-06-12T20:44:09.172474Z,2026-06-19T20:23:03.181987Z,41
Umm Al Quwain,119,L,122500,86,2026-06-12T20:44:09.172474Z,2026-06-19T19:55:57.457611Z,32
Umm Al Quwain,40000,L,110500,61,2026-06-12T20:44:09.172474Z,2026-06-19T20:06:43.856443Z,39
Umm Al Quwain,699,L,110000,50,2026-06-12T20:44:09.172474Z,2026-06-19T19:45:00.440031Z,21
Umm Al Quwain,510,M,106000,47,2026-06-12T20:44:09.172474Z,2026-06-19T19:17:36.710533Z,27
Umm Al Quwain,1234,G,88400,54,2026-06-12T20:44:09.172474Z,2026-06-19T18:33:58.963543Z,17
Umm Al Quwain,1001,G,85600,26,2026-06-12T20:44:09.172474Z,2026-06-19T18:50:22.779794Z,10
Umm Al Quwain,80008,G,64000,69,2026-06-12T20:44:09.172474Z,2026-06-19T19:28:29.601879Z,41
Umm Al Quwain,9111,K,60200,126,2026-06-12T20:44:09.172474Z,2026-06-19T20:56:48.918285Z,55
Umm Al Quwain,6969,G,60000,86,2026-06-12T20:44:09.172474Z,2026-06-19T17:55:44.491179Z,29
Umm Al Quwain,99000,K,57200,137,2026-06-12T20:44:09.172474Z,2026-06-19T18:06:44.279194Z,27
Umm Al Quwain,10101,G,56000,57,2026-06-12T20:44:09.172474Z,2026-06-19T18:50:22.779794Z,26
Umm Al Quwain,55550,K,46600,72,2026-06-12T20:44:09.172474Z,2026-06-19T20:12:07.737895Z,37
Umm Al Quwain,8080,N,45000,70,2026-06-12T20:44:09.172474Z,2026-06-19T19:17:36.710533Z,25
Umm Al Quwain,21000,G,44400,87,2026-06-12T20:44:09.172474Z,2026-06-19T18:06:44.279194Z,20
Umm Al Quwain,2220,K,43200,70,2026-06-12T20:44:09.172474Z,2026-06-19T20:01:20.905780Z,42
Umm Al Quwain,71111,J,42000,60,2026-06-12T20:44:09.172474Z,2026-06-19T20:28:28.700342Z,37
Umm Al Quwain,1200,G,41800,62,2026-06-12T20:44:09.172474Z,2026-06-19T18:01:11.332319Z,23
Umm Al Quwain,5500,G,41600,34,2026-06-12T20:44:09.172474Z,2026-06-19T19:01:20.651325Z,19
Umm Al Quwain,69999,N,39800,74,2026-06-12T20:44:09.172474Z,2026-06-19T19:01:20.651325Z,29
Umm Al Quwain,99991,G,37400,63,2026-06-12T20:44:09.172474Z,2026-06-19T18:55:48.884920Z,34
Umm Al Quwain,10010,G,36600,111,2026-06-12T20:44:09.172474Z,2026-06-19T19:24:05.454409Z,40
Umm Al Quwain,1771,I,34200,101,2026-06-12T20:44:09.172474Z,2026-06-19T18:17:41.538722Z,29
Umm Al Quwain,3331,K,33800,48,2026-06-12T20:44:09.172474Z,2026-06-19T19:17:36.710533Z,24
Umm Al Quwain,3210,I,29200,69,2026-06-12T20:44:09.172474Z,2026-06-19T18:33:58.963543Z,19
Umm Al Quwain,43210,I,25200,84,2026-06-12T20:44:09.172474Z,2026-06-19T19:17:36.710533Z,36
Umm Al Quwain,33300,I,23200,44,2026-06-12T20:44:09.172474Z,2026-06-19T19:28:29.601879Z,25
Umm Al Quwain,202,B,18400,43,2026-06-12T20:44:09.172474Z,2026-06-19T19:07:38.308967Z,18
Umm Al Quwain,110,B,17000,43,2026-06-12T20:44:09.172474Z,2026-06-19T19:12:10.019461Z,17
Umm Al Quwain,2200,B,7200,21,2026-06-12T20:44:09.172474Z,2026-06-19T18:33:58.963543Z,9
