emirate,plate_number,plate_code,final_price,bid_count,first_seen,completed_at,price_changes
Abu Dhabi,19,19,4501000,19,2026-01-09T21:24:05.479486Z,2026-01-16T17:13:37.568489Z,9
Abu Dhabi,20,12,3701000,11,2026-01-09T21:24:05.479486Z,2026-01-16T17:13:37.568489Z,8
Abu Dhabi,41,14,3003000,8,2026-01-09T21:24:05.479486Z,2026-01-16T17:13:37.568489Z,6
Abu Dhabi,222,11,1950000,24,2026-01-09T21:24:05.479486Z,2026-01-16T17:13:37.568489Z,14
Abu Dhabi,411,1,1105000,12,2026-01-09T21:24:05.479486Z,2026-01-16T17:13:37.568489Z,9
Abu Dhabi,900,50,1100000,15,2026-01-09T21:24:05.479486Z,2026-01-16T17:13:37.568489Z,11
Abu Dhabi,151,15,752000,8,2026-01-09T21:24:05.479486Z,2026-01-16T17:13:37.568489Z,6
Abu Dhabi,221,21,736000,6,2026-01-09T21:24:05.479486Z,2026-01-16T17:13:37.568489Z,3
Abu Dhabi,116,16,715000,13,2026-01-09T21:24:05.479486Z,2026-01-16T17:13:37.568489Z,6
Abu Dhabi,717,17,709000,13,2026-01-09T21:24:05.479486Z,2026-01-16T17:13:37.568489Z,9
Abu Dhabi,707,11,651000,26,2026-01-09T21:24:05.479486Z,2026-01-16T17:13:37.568489Z,22
Abu Dhabi,321,2,650000,16,2026-01-09T21:24:05.479486Z,2026-01-16T17:13:37.568489Z,14
Abu Dhabi,199,12,630000,14,2026-01-09T21:24:05.479486Z,2026-01-16T17:13:37.568489Z,12
Abu Dhabi,309,6,620000,12,2026-01-09T21:24:05.479486Z,2026-01-16T17:13:37.568489Z,11
Abu Dhabi,345,1,610000,18,2026-01-09T21:24:05.479486Z,2026-01-16T17:13:37.568489Z,12
Abu Dhabi,127,2,603000,17,2026-01-09T21:24:05.479486Z,2026-01-16T17:13:37.568489Z,14
Abu Dhabi,320,20,600000,9,2026-01-09T21:24:05.479486Z,2026-01-16T17:13:37.568489Z,9
Abu Dhabi,432,15,600000,2,2026-01-09T21:24:05.479486Z,2026-01-16T17:13:37.568489Z,2
