emirate,plate_number,plate_code,final_price,bid_count,first_seen,completed_at,price_changes
Abu Dhabi,345,1,1060000,171,2026-01-17T20:32:29.594708Z,2026-01-17T20:55:49.122287Z,5
Abu Dhabi,127,2,901000,163,2026-01-17T20:32:29.594708Z,2026-01-17T21:17:32.260576Z,13
Abu Dhabi,1314,2,178000,179,2026-01-17T20:32:29.594708Z,2026-01-17T21:20:30.193041Z,10
Abu Dhabi,9070,20,155000,115,2026-01-17T20:32:29.594708Z,2026-01-17T22:02:29.836007Z,15
Abu Dhabi,7100,22,152500,99,2026-01-17T20:32:29.594708Z,2026-01-17T20:43:17.139865Z,0
Abu Dhabi,7207,20,125500,126,2026-01-17T20:32:29.594708Z,2026-01-17T21:20:30.193041Z,10
Abu Dhabi,3411,2,123000,110,2026-01-17T20:32:29.594708Z,2026-01-17T20:46:51.940702Z,2
Abu Dhabi,8876,22,120000,176,2026-01-17T20:32:29.594708Z,2026-01-17T21:12:05.797552Z,12
Abu Dhabi,8870,11,112000,84,2026-01-17T20:32:29.594708Z,2026-01-17T20:46:51.940702Z,3
