emirate,plate_number,plate_code,final_price,bid_count,first_seen,completed_at,price_changes
Ras Al Khaimah,13,Z,702000,2,2026-04-10T22:40:39.877165Z,2026-04-17T18:07:44.378370Z,2
Ras Al Khaimah,88,Y,702000,2,2026-04-10T22:40:39.877165Z,2026-04-17T17:29:48.337216Z,2
Ras Al Khaimah,71,D,700000,0,2026-04-10T22:40:39.877165Z,2026-04-17T17:51:38.495910Z,0
Ras Al Khaimah,66666,D,421100,177,2026-04-10T22:40:39.877165Z,2026-04-17T19:42:50.823804Z,51
Ras Al Khaimah,500,Z,300000,0,2026-04-10T22:40:39.877165Z,2026-04-17T18:07:44.378370Z,0
Ras Al Khaimah,616,X,192000,1,2026-04-10T22:40:39.877165Z,2026-04-17T17:35:13.458888Z,1
Ras Al Khaimah,6000,X,172300,2,2026-04-10T22:40:39.877165Z,2026-04-17T17:51:38.495910Z,2
Ras Al Khaimah,122,X,156500,0,2026-04-10T22:40:39.877165Z,2026-04-17T17:52:11.448244Z,0
Ras Al Khaimah,456,I,155000,70,2026-04-10T22:40:39.877165Z,2026-04-17T19:21:08.207117Z,26
Ras Al Khaimah,770,D,151500,43,2026-04-10T22:40:39.877165Z,2026-04-17T20:13:47.359604Z,26
Ras Al Khaimah,20000,Y,150600,21,2026-04-10T22:40:39.877165Z,2026-04-17T17:51:38.495910Z,10
Ras Al Khaimah,303,X,150000,0,2026-04-10T22:40:39.877165Z,2026-04-17T17:58:15.862974Z,0
Ras Al Khaimah,190,V,130000,2,2026-04-10T22:40:39.877165Z,2026-04-17T17:24:22.921177Z,2
Ras Al Khaimah,987,X,93500,2,2026-04-10T22:40:39.877165Z,2026-04-17T17:13:31.883470Z,1
Ras Al Khaimah,30003,Z,85000,0,2026-04-10T22:40:39.877165Z,2026-04-17T17:57:01.294729Z,0
Ras Al Khaimah,99000,D,73400,1,2026-04-10T22:40:39.877165Z,2026-04-17T17:57:01.294729Z,1
Ras Al Khaimah,80808,Z,67200,0,2026-04-10T22:40:39.877165Z,2026-04-17T18:02:22.190993Z,0
Ras Al Khaimah,12221,X,60300,74,2026-04-10T22:40:39.877165Z,2026-04-17T18:36:05.631851Z,23
Ras Al Khaimah,33333,0,60000,69,2026-04-10T22:40:39.877165Z,2026-04-17T18:02:22.190993Z,20
Ras Al Khaimah,1888,X,54300,1,2026-04-10T22:40:39.877165Z,2026-04-17T17:40:41.459886Z,1
Ras Al Khaimah,6666,1,50300,57,2026-04-10T22:40:39.877165Z,2026-04-17T18:34:47.652982Z,23
Ras Al Khaimah,7007,D,50200,2,2026-04-10T22:40:39.877165Z,2026-04-17T17:07:50.215662Z,1
Ras Al Khaimah,8080,Y,50200,1,2026-04-10T22:40:39.877165Z,2026-04-17T17:35:13.458888Z,1
Ras Al Khaimah,9900,V,50200,1,2026-04-10T22:40:39.877165Z,2026-04-17T17:51:38.495910Z,1
Ras Al Khaimah,200,1,46500,35,2026-04-10T22:40:39.877165Z,2026-04-17T18:40:10.268232Z,15
Ras Al Khaimah,6669,D,45500,79,2026-04-10T22:40:39.877165Z,2026-04-17T18:40:10.268232Z,27
Ras Al Khaimah,2100,Y,43200,1,2026-04-10T22:40:39.877165Z,2026-04-17T18:13:09.872848Z,1
Ras Al Khaimah,78000,Z,38900,67,2026-04-10T22:40:39.877165Z,2026-04-17T18:09:06.872091Z,22
Ras Al Khaimah,5511,I,38500,0,2026-04-10T22:40:39.877165Z,2026-04-17T17:46:12.952863Z,0
Ras Al Khaimah,65555,I,34000,16,2026-04-10T22:40:39.877165Z,2026-04-17T17:51:38.495910Z,12
Ras Al Khaimah,50050,Z,28300,29,2026-04-10T22:40:39.877165Z,2026-04-17T18:30:41.674176Z,19
Ras Al Khaimah,2000,0,23500,27,2026-04-10T22:40:39.877165Z,2026-04-17T17:51:38.495910Z,16
Ras Al Khaimah,1987,Z,21600,31,2026-04-10T22:40:39.877165Z,2026-04-17T17:40:41.459886Z,15
