emirate,plate_number,plate_code,final_price,bid_count,first_seen,completed_at,price_changes
Ras Al Khaimah,55,X,701000,1,2026-09-02T13:22:12.968348Z,2026-09-06T10:30:43.720103Z,1
Ras Al Khaimah,19,V,700000,0,2026-09-02T13:22:12.968348Z,2026-09-06T10:30:43.720103Z,0
Ras Al Khaimah,600,X,300000,0,2026-09-02T13:22:12.968348Z,2026-09-06T10:30:43.720103Z,0
Ras Al Khaimah,33333,Z,293600,2,2026-09-02T13:22:12.968348Z,2026-09-06T10:30:43.720103Z,1
Ras Al Khaimah,122,X,156900,1,2026-09-02T13:22:12.968348Z,2026-09-06T10:30:43.720103Z,1
Ras Al Khaimah,20000,X,145100,2,2026-09-02T13:22:12.968348Z,2026-09-06T10:30:43.720103Z,1
Ras Al Khaimah,170,Y,129000,0,2026-09-02T13:22:12.968348Z,2026-09-06T10:30:43.720103Z,0
Ras Al Khaimah,7000,D,116800,5,2026-09-02T13:22:12.968348Z,2026-09-06T10:30:43.720103Z,5
Ras Al Khaimah,787,I,115500,0,2026-09-02T13:22:12.968348Z,2026-09-06T10:30:43.720103Z,0
Ras Al Khaimah,669,Z,107800,0,2026-09-02T13:22:12.968348Z,2026-09-06T10:30:43.720103Z,0
Ras Al Khaimah,997,Z,107800,0,2026-09-02T13:22:12.968348Z,2026-09-06T10:30:43.720103Z,0
Ras Al Khaimah,203,Z,92500,0,2026-09-02T13:22:12.968348Z,2026-09-06T10:30:43.720103Z,0
Ras Al Khaimah,567,V,92500,0,2026-09-02T13:22:12.968348Z,2026-09-06T10:30:43.720103Z,0
Ras Al Khaimah,971,Z,85200,1,2026-09-02T13:22:12.968348Z,2026-09-06T10:30:43.720103Z,1
Ras Al Khaimah,99000,Y,73200,0,2026-09-02T13:22:12.968348Z,2026-09-06T10:30:43.720103Z,0
Ras Al Khaimah,5005,X,50200,1,2026-09-02T13:22:12.968348Z,2026-09-06T10:30:43.720103Z,1
Ras Al Khaimah,6060,X,50000,0,2026-09-02T13:22:12.968348Z,2026-09-06T10:30:43.720103Z,0
Ras Al Khaimah,89999,Z,31200,2,2026-09-02T13:22:12.968348Z,2026-09-06T10:30:43.720103Z,2
Ras Al Khaimah,65555,S,31000,1,2026-09-02T13:22:12.968348Z,2026-09-06T10:30:43.720103Z,1
Ras Al Khaimah,2001,D,30800,0,2026-09-02T13:22:12.968348Z,2026-09-06T10:30:43.720103Z,0
Ras Al Khaimah,7171,K,30800,0,2026-09-02T13:22:12.968348Z,2026-09-06T10:30:43.720103Z,0
Ras Al Khaimah,25000,Z,30800,0,2026-09-02T13:22:12.968348Z,2026-09-06T10:30:43.720103Z,0
Ras Al Khaimah,4321,Z,29300,0,2026-09-02T13:22:12.968348Z,2026-09-06T10:30:43.720103Z,0
Ras Al Khaimah,6999,D,28700,1,2026-09-02T13:22:12.968348Z,2026-09-06T10:30:43.720103Z,0
Ras Al Khaimah,3999,I,28500,0,2026-09-02T13:22:12.968348Z,2026-09-06T10:30:43.720103Z,0
Ras Al Khaimah,17111,I,27200,1,2026-09-02T13:22:12.968348Z,2026-09-06T10:30:43.720103Z,1
Ras Al Khaimah,1811,I,25500,0,2026-09-02T13:22:12.968348Z,2026-09-06T10:30:43.720103Z,0
Ras Al Khaimah,8088,I,25500,0,2026-09-02T13:22:12.968348Z,2026-09-06T10:30:43.720103Z,0
Ras Al Khaimah,12221,V,25500,0,2026-09-02T13:22:12.968348Z,2026-09-06T10:30:43.720103Z,0
Ras Al Khaimah,54000,M,25500,0,2026-09-02T13:22:12.968348Z,2026-09-06T10:30:43.720103Z,0
Ras Al Khaimah,78787,I,21600,0,2026-09-02T13:22:12.968348Z,2026-09-06T10:30:43.720103Z,0
Ras Al Khaimah,44444,0,21500,7,2026-09-02T13:22:12.968348Z,2026-09-06T10:30:43.720103Z,4
Ras Al Khaimah,1002,Y,20300,1,2026-09-02T13:22:12.968348Z,2026-09-06T10:30:43.720103Z,1
Ras Al Khaimah,700,1,19000,2,2026-09-02T13:22:12.968348Z,2026-09-06T10:30:43.720103Z,2
Ras Al Khaimah,70070,Z,18500,0,2026-09-02T13:22:12.968348Z,2026-09-06T10:30:43.720103Z,0
Ras Al Khaimah,1985,Z,16200,4,2026-09-02T13:22:12.968348Z,2026-09-06T10:30:43.720103Z,1
Ras Al Khaimah,110,0,15500,1,2026-09-02T13:22:12.968348Z,2026-09-06T10:30:43.720103Z,0
Ras Al Khaimah,121,0,14000,0,2026-09-02T13:22:12.968348Z,2026-09-06T10:30:43.720103Z,0
Ras Al Khaimah,70000,0,14000,3,2026-09-02T13:22:12.968348Z,2026-09-06T10:30:43.720103Z,3
Ras Al Khaimah,988,1,10400,1,2026-09-02T13:22:12.968348Z,2026-09-06T10:30:43.720103Z,1
Ras Al Khaimah,786,1,10000,2,2026-09-02T13:22:12.968348Z,2026-09-06T10:30:43.720103Z,1
Ras Al Khaimah,9000,1,10000,2,2026-09-02T13:22:12.968348Z,2026-09-06T10:30:43.720103Z,2
Ras Al Khaimah,1100,1,5300,4,2026-09-02T13:22:12.968348Z,2026-09-06T10:30:43.720103Z,3
Ras Al Khaimah,2001,0,4300,6,2026-09-02T13:22:12.968348Z,2026-09-06T10:30:43.720103Z,5
