emirate,plate_number,plate_code,final_price,bid_count,first_seen,completed_at,price_changes
Sharjah,12,4,2674000,224,2026-09-18T21:34:01.551750Z,2026-09-25T23:14:50.192196Z,65
Sharjah,66,4,1846000,102,2026-09-18T21:34:01.551750Z,2026-09-25T20:03:16.687509Z,29
Sharjah,53,3,1606000,252,2026-09-18T21:34:01.551750Z,2026-09-25T22:46:45.897214Z,61
Sharjah,700000,3,1557000,304,2026-09-18T21:34:01.551750Z,2026-09-25T21:31:12.279995Z,49
Sharjah,222,4,930000,73,2026-09-18T21:34:01.551750Z,2026-09-25T18:51:16.007697Z,26
Sharjah,33333,4,765000,76,2026-09-18T21:34:01.551750Z,2026-09-25T18:40:03.155788Z,27
Sharjah,10000,4,705000,111,2026-09-18T21:34:01.551750Z,2026-09-25T20:41:46.627255Z,32
Sharjah,300,4,600000,139,2026-09-18T21:34:01.551750Z,2026-09-25T18:29:08.374113Z,25
Sharjah,141,4,527000,188,2026-09-18T21:34:01.551750Z,2026-09-25T19:29:54.105055Z,36
Sharjah,7000,4,417000,77,2026-09-18T21:34:01.551750Z,2026-09-25T19:24:21.412700Z,27
Sharjah,550,4,405000,37,2026-09-18T21:34:01.551750Z,2026-09-25T19:40:45.507228Z,25
Sharjah,441,4,402000,71,2026-09-18T21:34:01.551750Z,2026-09-25T19:24:21.412700Z,26
Sharjah,211,4,401000,81,2026-09-18T21:34:01.551750Z,2026-09-25T18:45:37.737091Z,21
Sharjah,130,4,396000,75,2026-09-18T21:34:01.551750Z,2026-09-25T18:34:36.601513Z,21
Sharjah,979,3,384000,65,2026-09-18T21:34:01.551750Z,2026-09-25T20:08:48.251011Z,21
Sharjah,432,4,378000,74,2026-09-18T21:34:01.551750Z,2026-09-25T20:08:48.251011Z,29
Sharjah,603,3,370000,69,2026-09-18T21:34:01.551750Z,2026-09-25T19:51:42.209899Z,27
Sharjah,730,3,369000,80,2026-09-18T21:34:01.551750Z,2026-09-25T20:14:21.401427Z,27
Sharjah,66,1,206500,86,2026-09-18T21:34:01.551750Z,2026-09-25T20:30:52.787072Z,36
Sharjah,99999,1,190000,70,2026-09-18T21:34:01.551750Z,2026-09-25T19:24:21.412700Z,21
Sharjah,22000,4,185500,135,2026-09-18T21:34:01.551750Z,2026-09-25T19:35:20.634900Z,29
