emirate,plate_number,plate_code,final_price,bid_count,first_seen,completed_at,price_changes
Ras Al Khaimah,18,V,702000,2,2026-01-23T20:13:00.757976Z,2026-01-30T16:49:33.156519Z,2
Ras Al Khaimah,20,Z,701000,1,2026-01-23T20:13:00.757976Z,2026-01-30T16:49:33.156519Z,1
Ras Al Khaimah,88888,Y,382600,30,2026-01-23T20:13:00.757976Z,2026-01-30T16:49:33.156519Z,19
Ras Al Khaimah,900,Z,300500,1,2026-01-23T20:13:00.757976Z,2026-01-30T16:49:33.156519Z,1
Ras Al Khaimah,7000,Y,161300,16,2026-01-23T20:13:00.757976Z,2026-01-30T16:49:33.156519Z,16
Ras Al Khaimah,177,X,157400,2,2026-01-23T20:13:00.757976Z,2026-01-30T16:49:33.156519Z,2
Ras Al Khaimah,808,Z,152000,4,2026-01-23T20:13:00.757976Z,2026-01-30T16:49:33.156519Z,4
Ras Al Khaimah,50000,D,150100,6,2026-01-23T20:13:00.757976Z,2026-01-30T16:49:33.156519Z,4
Ras Al Khaimah,660,D,139000,16,2026-01-23T20:13:00.757976Z,2026-01-30T16:49:33.156519Z,11
Ras Al Khaimah,150,D,138000,7,2026-01-23T20:13:00.757976Z,2026-01-30T16:49:33.156519Z,6
Ras Al Khaimah,780,V,110800,2,2026-01-23T20:13:00.757976Z,2026-01-30T16:49:33.156519Z,2
Ras Al Khaimah,432,Z,110000,5,2026-01-23T20:13:00.757976Z,2026-01-30T16:49:33.156519Z,5
Ras Al Khaimah,70007,X,85300,3,2026-01-23T20:13:00.757976Z,2026-01-30T16:49:33.156519Z,1
Ras Al Khaimah,99000,X,75200,5,2026-01-23T20:13:00.757976Z,2026-01-30T16:49:33.156519Z,3
Ras Al Khaimah,111,1,61000,37,2026-01-23T20:13:00.757976Z,2026-01-30T16:49:33.156519Z,24
Ras Al Khaimah,51111,Z,59200,3,2026-01-23T20:13:00.757976Z,2026-01-30T16:49:33.156519Z,2
Ras Al Khaimah,1116,X,58500,2,2026-01-23T20:13:00.757976Z,2026-01-30T16:49:33.156519Z,2
Ras Al Khaimah,2202,I,54500,1,2026-01-23T20:13:00.757976Z,2026-01-30T16:49:33.156519Z,1
Ras Al Khaimah,7700,Z,50600,3,2026-01-23T20:13:00.757976Z,2026-01-30T16:49:33.156519Z,3
Ras Al Khaimah,1800,X,42900,0,2026-01-23T20:13:00.757976Z,2026-01-30T16:49:33.156519Z,0
Ras Al Khaimah,89999,X,40200,43,2026-01-23T20:13:00.757976Z,2026-01-30T16:49:33.156519Z,11
Ras Al Khaimah,8887,Y,37400,2,2026-01-23T20:13:00.757976Z,2026-01-30T16:49:33.156519Z,2
Ras Al Khaimah,5151,V,32200,7,2026-01-23T20:13:00.757976Z,2026-01-30T16:49:33.156519Z,5
Ras Al Khaimah,66666,0,32000,24,2026-01-23T20:13:00.757976Z,2026-01-30T16:49:33.156519Z,20
Ras Al Khaimah,12111,S,28800,7,2026-01-23T20:13:00.757976Z,2026-01-30T16:49:33.156519Z,7
Ras Al Khaimah,22202,I,27100,4,2026-01-23T20:13:00.757976Z,2026-01-30T16:49:33.156519Z,4
Ras Al Khaimah,1007,S,22500,10,2026-01-23T20:13:00.757976Z,2026-01-30T16:49:33.156519Z,6
Ras Al Khaimah,6696,I,21100,5,2026-01-23T20:13:00.757976Z,2026-01-30T16:49:33.156519Z,5
Ras Al Khaimah,7000,1,17000,16,2026-01-23T20:13:00.757976Z,2026-01-30T16:49:33.156519Z,8
Ras Al Khaimah,8000,0,14500,9,2026-01-23T20:13:00.757976Z,2026-01-30T16:49:33.156519Z,8
