emirate,plate_number,plate_code,final_price,bid_count,first_seen,completed_at,price_changes
Umm Al Quwain,12,K,800000,127,2026-04-02T10:54:02.827649Z,2026-04-10T18:28:38.158347Z,36
Umm Al Quwain,88,L,621000,70,2026-04-02T10:54:02.827649Z,2026-04-10T18:45:21.198153Z,26
Umm Al Quwain,60,N,551000,72,2026-04-02T10:54:02.827649Z,2026-04-10T19:12:06.287003Z,28
Umm Al Quwain,999,G,472500,269,2026-04-02T10:54:02.827649Z,2026-04-10T21:38:06.478471Z,110
Umm Al Quwain,7777,G,410500,152,2026-04-02T10:54:02.827649Z,2026-04-10T19:55:20.733631Z,59
Umm Al Quwain,55555,G,380000,290,2026-04-02T10:54:02.827649Z,2026-04-10T21:29:32.595302Z,106
Umm Al Quwain,1000,G,281500,97,2026-04-02T10:54:02.827649Z,2026-04-10T19:19:23.579788Z,40
Umm Al Quwain,786,G,271500,166,2026-04-02T10:54:02.827649Z,2026-04-10T18:34:03.988082Z,45
Umm Al Quwain,500,G,264500,106,2026-04-02T10:54:02.827649Z,2026-04-10T18:44:50.237798Z,48
Umm Al Quwain,880,G,172000,126,2026-04-02T10:54:02.827649Z,2026-04-10T19:57:22.172054Z,46
Umm Al Quwain,711,K,145500,106,2026-04-02T10:54:02.827649Z,2026-04-10T19:08:28.282376Z,44
Umm Al Quwain,606,N,141000,80,2026-04-02T10:54:02.827649Z,2026-04-10T19:39:17.947328Z,49
Umm Al Quwain,12345,G,140200,52,2026-04-02T10:54:02.827649Z,2026-04-10T17:29:00.532087Z,21
Umm Al Quwain,1010,G,135800,159,2026-04-02T10:54:02.827649Z,2026-04-10T19:12:29.854783Z,45
Umm Al Quwain,113,M,131000,99,2026-04-02T10:54:02.827649Z,2026-04-10T18:39:28.126103Z,40
Umm Al Quwain,220,K,130500,66,2026-04-02T10:54:02.827649Z,2026-04-10T19:03:03.078170Z,34
Umm Al Quwain,551,L,118500,60,2026-04-02T10:54:02.827649Z,2026-04-10T19:17:31.170842Z,37
Umm Al Quwain,30000,N,116500,55,2026-04-02T10:54:02.827649Z,2026-04-10T19:06:38.179386Z,29
Umm Al Quwain,11011,G,90200,145,2026-04-02T10:54:02.827649Z,2026-04-10T21:24:07.374814Z,76
Umm Al Quwain,12000,G,85400,219,2026-04-02T10:54:02.827649Z,2026-04-10T19:51:56.223956Z,73
Umm Al Quwain,4800,G,78800,143,2026-04-02T10:54:02.827649Z,2026-04-10T18:17:49.476868Z,49
Umm Al Quwain,25,B,70000,52,2026-04-02T10:54:02.827649Z,2026-04-10T19:12:06.287003Z,34
Umm Al Quwain,3330,G,66000,156,2026-04-02T10:54:02.827649Z,2026-04-10T21:03:21.627854Z,92
Umm Al Quwain,91111,G,64400,128,2026-04-02T10:54:02.827649Z,2026-04-10T20:00:45.033990Z,74
Umm Al Quwain,20002,N,48800,69,2026-04-02T10:54:02.827649Z,2026-04-10T18:41:28.758444Z,29
Umm Al Quwain,1122,N,47000,98,2026-04-02T10:54:02.827649Z,2026-04-10T17:56:13.333277Z,38
Umm Al Quwain,1997,M,45400,82,2026-04-02T10:54:02.827649Z,2026-04-10T17:56:13.333277Z,35
Umm Al Quwain,8880,L,44200,69,2026-04-02T10:54:02.827649Z,2026-04-10T20:00:45.033990Z,43
Umm Al Quwain,7111,L,42200,80,2026-04-02T10:54:02.827649Z,2026-04-10T21:34:55.380226Z,62
Umm Al Quwain,6006,K,41800,87,2026-04-02T10:54:02.827649Z,2026-04-10T18:57:38.607650Z,56
Umm Al Quwain,9900,N,40800,46,2026-04-02T10:54:02.827649Z,2026-04-10T19:12:06.287003Z,29
Umm Al Quwain,66660,L,40400,57,2026-04-02T10:54:02.827649Z,2026-04-10T18:17:49.476868Z,33
Umm Al Quwain,77771,F,36800,47,2026-04-02T10:54:02.827649Z,2026-04-10T18:34:03.988082Z,26
Umm Al Quwain,5151,M,35200,63,2026-04-02T10:54:02.827649Z,2026-04-10T18:28:38.158347Z,30
Umm Al Quwain,88800,F,34800,68,2026-04-02T10:54:02.827649Z,2026-04-10T19:06:38.179386Z,39
Umm Al Quwain,90909,N,34400,51,2026-04-02T10:54:02.827649Z,2026-04-10T18:44:50.237798Z,34
Umm Al Quwain,2112,L,29800,24,2026-04-02T10:54:02.827649Z,2026-04-10T19:09:33.878689Z,18
Umm Al Quwain,99911,M,29000,99,2026-04-02T10:54:02.827649Z,2026-04-10T18:50:18.870222Z,59
Umm Al Quwain,9000,B,21200,50,2026-04-02T10:54:02.827649Z,2026-04-10T18:50:18.870222Z,20
Umm Al Quwain,150,B,16400,37,2026-04-02T10:54:02.827649Z,2026-04-10T18:44:50.237798Z,20
